group,bottleneck,field,pattern,required_check,A_value,B_value,AB_value,detail,result,ab_kind,LLM-result-openai/gpt-oss-120b,LLM-suggestion-openai/gpt-oss-120b,LLM-result-mistralai/Mistral-Small-3.2-24B-Instruct-2506,LLM-suggestion-mistralai/Mistral-Small-3.2-24B-Instruct-2506,LLM-result-default-text-large,LLM-suggestion-default-text-large,groundTruth
1,Conceptual Quality Gap,Conceptual Model Evaluation,One-Way,Pattern-agnostic,"published evaluations comparing model predictions to observed temperature profiles, mixing depths","extensively documented in peer-reviewed studies, applied to >50 lakes worldwide",,Both provide metadata.,Match,INTENDED,Match,,Match,,Match,,Match
1,Conceptual Quality Gap,Calibration Tools/Data,One-Way,Pattern-agnostic,"historical meteorological data, in-situ temperature profiles for specific sites","empirical calibration using observed nutrient loads, water quality, biological monitoring data",,Both provide metadata.,Match,INTENDED,Match,,Match,,Match,,Match
1,Conceptual Quality Gap,Validation Capabilities,One-Way,Pattern-agnostic,yes — validated with observed lake data in multiple studies,"validated against long-term monitoring of nutrients, oxygen, chlorophyll-a, macrophyte cover",,Both provide metadata.,Match,INTENDED,Match,,Match,,Match,,Match
1,Conceptual Quality Gap,Sensitivity Analysis,One-Way,Pattern-agnostic,"can vary boundary conditions e.g., wind speed, albedo for sensitivity",supports manual or automated sensitivity tests,,Both provide metadata.,Match,INTENDED,Match,,Match,,Match,,Match
1,Conceptual Quality Gap,Uncertainty Analysis,One-Way,Pattern-agnostic,limited — scenario-based testing recommended,"scenario analysis, monte carlo simulations",,Both provide metadata.,Match,INTENDED,Match,,Match,,Match,,Match
1,Data Schema Mismatch,A.output,One-Way,A.output ↔ B.input (≥1 semantic match),water temperature profile; mixing depth; ice thickness,daily mixing depth; temperature profile from flake; meteorological data; nutrient load data; bathymetry; hydrology,,water temperature profile ↔ temperature profile from flake (0.50); mixing depth ↔ daily mixing depth (0.90),Match,INTENDED,Match,,Match,,Match,,Match
1,Data Schema Mismatch,A.input vs AB.input,One-Way,A.input ↔ AB.input (similarity>0),meteorological forcing wind; solar radiation; air temperature; etc.,,(none),sim=0.00 | missing: AB.input,Missing,INTENDED,missing,Missing fields: B+AB,missing,Missing fields: B+AB,missing,Missing fields: B+AB,missing
1,Data Schema Mismatch,B.output vs AB.output,One-Way,B.output ↔ AB.output (similarity>0),,nutrient concentrations; phytoplankton biomass; macrophyte cover; oxygen; ecosystem service indicators,(none),sim=0.00 | missing: AB.output,Missing,INTENDED,missing,Missing fields: A+AB,missing,Missing fields: A+AB,missing,Missing fields: A+AB,Match
1,Temporal Resolution Mismatch,time_steps_temporal_resolution,One-Way,Common exchanged variables align semantically,hourly or daily configurable,daily,,A↔B token-sim=0.33 (>0 ⇒ aligned),Match,INTENDED,Match,,Match,,Match,,Match
1,Temporal Coverage Mismatch,temporal_extent_coverage,One-Way,Common exchanged variables align semantically,"user-defined, typically days to decades",multi-year to decadal,,A↔B token-sim=0.00 (>0 ⇒ aligned),Mismatch,INTENDED,Match,Integration can be limited to the overlapping multi‑year interval.,Match,The temporal extents are compatible and can be aligned.,Mismatch,Resample or interpolate data to compatible temporal coverage,Match
1,Spatial Resolution Mismatch,spatial_resolution,One-Way,Common exchanged variables align semantically,"depth layers user-defined, typically 1-20 layers",discrete vertical layers fixed,,A↔B token-sim=0.12 (>0 ⇒ aligned),Match,INTENDED,Match,,Match,,Match,,Match
1,Spatial Coverage Mismatch,spatial_extent_coverage,One-Way,Common exchanged variables align semantically,single lake water column,lake water column,,A↔B token-sim=0.75 (>0 ⇒ aligned),Match,INTENDED,Match,,Match,,Match,,Match
1,Dimensionality Mismatch,dimensionality,One-Way,Common exchanged variables align semantically,1d vertical structure only,1d,,A↔B token-sim=0.25 (>0 ⇒ aligned),Match,INTENDED,Match,,Match,,Match,,Match
1,Communication Mechanism Mismatch,communication_mechanism,One-Way,Pattern-graded requirement,,,,Not required for One-Way; any declared IO is acceptable.,Match,INTENDED,Match,,Match,,Match,,Match
1,Error Handling Mismatch,error_handling,One-Way,Pattern-graded requirement,"basic input validation, errors during runtime reported in logs, no built-in recovery routines","input validation, logging of numerical errors or instabilities",,At least one of A/B/AB must define error handling.,Match,INTENDED,Match,,Match,,Match,,Match
1,Execution Instruction Gap,execution_instructions,One-Way,Require A only,"command-line execution or via r / python wrappers, configuration files specify parameters",,,Producer (A) must provide run instructions.,Match,INTENDED,Match,,Match,,Match,,Match
1,Execution Instruction Gap,execution_instructions,One-Way,B optional in One-Way,,"command-line via c++ binary or r script, configure via yaml / json files",,B optional,Match,INTENDED,Match,,Match,,Match,,Match
1,Parallel Execution Incompatibility,parallel_execution,One-Way,Pattern-graded requirement,false,false,,Not required for One-Way.,Match,INTENDED,Match,,Match,,Match,,Match
1,Execution Constraint Mismatch,execution_constraints,One-Way,Pattern-graded requirement,"outputs from flake are stored in files, provided to the ecological model without feedback","consumes outputs from flake as input forcing, no return variables sent back",physical model output serves as boundary condition for ecological model,Not required for One-Way.,Match,INTENDED,Match,,Match,,Match,,Match
1,Acknowledgment Protocol Mismatch,acknowledgment_protocols,One-Way,Pattern-graded requirement,,,,Not required for One-Way.,Match,INTENDED,Match,,Match,,Match,,Match
1,Latency Expectation Mismatch,latency_expectations,One-Way,Pattern-graded requirement,batch / offline exchange,batch / offline,batch / offline,Not required for One-Way.,Match,INTENDED,Match,,Match,,Match,,Match
1,Data Synchronization,data_synchronization,One-Way,Pattern-graded requirement,"post-run file transfer, no real-time exchange",file-based input from physical model,post-run file-based,Not required for One-Way.,Match,INTENDED,Match,,Match,,Match,,Match
1,Programming Language Incompatibility,programming_language,One-Way,Pattern-graded similarity/equality,fortran core; r interface; python interface,c++ core; r wrapper,,A↔B token-sim=0.17 (> 0.00),Match,INTENDED,Match,,Match,,Match,,Match
1,Source Code Availability Gap,availability_of_source_code (A),One-Way,Optional at this pattern,,,,Optional.,Match,INTENDED,Match,,Match,,Match,,Match
1,Source Code Availability Gap,availability_of_source_code (B),One-Way,Optional for One-Way (B),,,,Optional for B in One-Way.,Match,INTENDED,Match,,Match,,Match,,Match
1,Implementation Verification Gap,implementation_verification (A),One-Way,Presence required,"published peer-reviewed studies e.g., kirillin et al., 2011 demonstrate validation against field data; compared against in-situ temperature measurements zhan et al. 2023",,,A provides metadata,Match,INTENDED,Match,,Match,,Match,,Match
1,Implementation Verification Gap,implementation_verification (B),One-Way,Optional for One-Way (B),"peer-reviewed validation, consistency tests; compared to field data from case studies oxygen, nutrients, chlorophyll-a",,,Optional for B in One-Way.,Match,INTENDED,Match,,Match,,Match,,Match
1,Software Environment Mismatch,software_specification_and_requirements,One-Way,Pattern-graded similarity/equality,"fortran compiler or compatible environment for r / python interfaces; meteorological forcing wind, solar radiation, air temperature, etc.","c++ compiler, r with pcmodel package; meteorological data; nutrient load data; bathymetry; hydrology",,A↔B token-sim=0.10 (> 0.00),Match,INTENDED,Match,,Match,,Match,,Match
1,Hardware Resource Mismatch,hardware_specification_and_requirements,One-Way,Pattern-graded similarity/equality,"standard desktop or server machine, no hpc needed",standard desktop / server,,A↔B token-sim=0.43 (> 0.00),Match,INTENDED,Match,,Match,,Match,,Match
1,Distribution Version Mismatch,distribution_version,One-Way,Pattern-graded similarity/equality,2023.1,2023.1,,A↔B token-sim=1.00 (> 0.00),Match,INTENDED,Match,,Match,,Match,,Match
1,File Format Mismatch,file_formats,One-Way,Not required at this pattern,,,,Absent but optional for this pattern.,Match,INTENDED,Match,,Match,,Match,,Match
1,License Incompatibility,license,One-Way,Pattern-graded requirement,gnu gpl,gnu gpl,,A↔B token-sim=1.00 (> 0.00),Match,INTENDED,Match,,Match,,Match,,Match
1,Landing Page Gap,landing_page (A),One-Way,Presence required,"https, / / github.com / aemon-j / flaker",,,A provides landing page,Match,INTENDED,Match,,Match,,Match,,Match
1,Landing Page Gap,landing_page (B),One-Way,Presence required,"https, / / github.com / pcmodel / pcmodel",,,B provides landing page,Match,INTENDED,Match,,Match,,Match,,Match
10,Semantic Mismatch,Title,Embedded,Coverage threshold ≥ 0.50,"ofam3, ocean forecasting australian model, version 3; ofam3_config_parameters; p. r. oke; a. schiller; r. j. matear","wombat, whole ocean model of biogeochemistry, trophic-dynamics; wombat_config_parameters; r. j. matear; a. lenton; p. r. oke",integrated ofam3-wombat model,"A→AB:0.33 (covered: ofam3) | B→AB:0.33 (covered: wombat) | A∪B→AB:0.67 (covered: ofam3, wombat) | uncovered_AB: integrated",Match,INTENDED,Match,,Match,,Match,,Match
10,Semantic Mismatch,Model Version,Embedded,Coverage vs AB,3.0; 2009; v1.1,2013.1; 2008; 2011,,AB value missing.,Missing,INTENDED,missing,Missing fields: AB,missing,Missing fields: AB,missing,Missing fields: AB,Mismatch
10,Semantic Mismatch,Description,Embedded,Coverage threshold ≥ 0.50,"ofam3 is a near-global, eddy-resolving ocean general circulation model based on the modular ocean model mom4p1 . it simulates physical ocean dynamics, circulation, temperature, salinity, mesoscale variability, coupled with a biogeochemical model wombat .; defines model grid, vertical resolution, viscosity, mixing scheme, restoring timescales","wombat is a three-dimensional npzd-type ocean biogeochemistry model, including nutrients, phytoplankton, zooplankton, detritus, extensions for carbon, oxygen, iron cycles. it is designed to simulate large-scale biogeochemical cycling, ecosystem responses when coupled to ocean circulation models.; defines ecosystem constants uptake rates, remineralization rates, stoichiometric ratios","a conceptual integration of the ofam3 physical ocean model, the wombat biogeochemical model. the framework is designed to simulate interactions between ocean circulation, nutrient / biogeochemical processes at near-global scale. specific configurations, parameters depend on use case.; output from ofam3 temperature, salinity, circulation provided to wombat biogeochemistry","A→AB:0.37 (covered: biogeochemical, circulation, global, is, near, ofam3, physical, salinity, temperature, wombat) | B→AB:0.30 (covered: biogeochemical, biogeochemistry, circulation, designed, is, scale, simulate, wombat) | A∪B→AB:0.52 (covered: biogeochemical, biogeochemistry, circulation, designed, global, is, near, ofam3, physical, salinity, scale, simulate, temperature, wombat) | uncovered_AB: between, case, conceptual, configurations, depend, integration, interactions, nutrient, parameters, processes, provided, specific, use",Match,INTENDED,Match,,Match,,Match,,Match
10,Semantic Mismatch,Keywords,Embedded,Coverage threshold ≥ 0.50,ocean circulation; eddy-resolving; climate modeling; biogeochemistry; ocean forecasting; mesoscale variability,biogeochemistry; npzd model; carbon cycle; nutrient cycling; phytoplankton; ocean ecosystems,ocean circulation; biogeochemistry; model integration; ofam3; wombat,"A→AB:0.40 (covered: biogeochemistry, circulation) | B→AB:0.20 (covered: biogeochemistry) | A∪B→AB:0.40 (covered: biogeochemistry, circulation) | uncovered_AB: integration, ofam3, wombat",Mismatch,INTENDED,Match,Keyword sets collectively describe the coupled earth system model.,Match,The keywords are compatible and can be integrated.,Match,"Similarity threshold not met, but keywords are compatible",Match
10,Semantic Mismatch,Model Type,Embedded,Coverage threshold ≥ 0.50,"mechanistic, process-based general circulation model gcm",process-based biogeochemical cycling model,mechanistic,A→AB:1.00 (covered: mechanistic) | B→AB:0.00 (covered: —) | A∪B→AB:1.00 (covered: mechanistic) | uncovered_AB: —,Match,INTENDED,Match,,Match,,Match,,Match
10,Semantic Mismatch,Scope,Embedded,Coverage threshold ≥ 0.50,"simulation of physical ocean dynamics, coupled biogeochemical processes at near-global scale","simulation of nutrient cycles, primary production, biogeochemical tracers in the global ocean",near-global ocean,"A→AB:1.00 (covered: global, near) | B→AB:0.50 (covered: global) | A∪B→AB:1.00 (covered: global, near) | uncovered_AB: —",Match,INTENDED,Match,,Match,,Match,,Mismatch
10,Semantic Mismatch,Purpose & Pattern,Embedded,Coverage threshold ≥ 0.50,"hindcast, forecast upper ocean circulation, mesoscale eddies, physical-biogeochemical interactions; integrated coupling with biogeochemical model wombat; integrated coupling","quantify nutrient, carbon cycling, chlorophyll distributions, ecosystem variability in the global ocean; integrated coupling with ofam3 physical circulation model; integrated coupling","simulate coupled physical, biogeochemical ocean dynamics; embedded coupling tight integration; embedded","A→AB:0.38 (covered: biogeochemical, coupling, physical) | B→AB:0.25 (covered: coupling, physical) | A∪B→AB:0.38 (covered: biogeochemical, coupling, physical) | uncovered_AB: dynamics, embedded, integration, simulate, tight",Mismatch,INTENDED,Match,Both models contribute to the overall climate response simulation.,Match,The purposes and patterns are compatible and can be integrated.,Match,"Similarity threshold not met, but purposes and patterns are compatible",Match
10,Semantic Mismatch,Assumptions,Embedded,Coverage threshold ≥ 0.50,"ocean represented using z* coordinate system; forcing via atmospheric reanalysis fields era-interim; no explicit sea-ice model included; surface restoring toward climatological temperature, salinity","nutrient uptake follows redfield stoichiometry; phytoplankton growth limited by light, phosphate, iron; simple npzd structure for ecosystem representation; air-sea gas exchange parameterized by wind speed, climatological ice cover","physical ocean processes drive biogeochemical cycling; nutrient-phytoplankton-zooplankton-detritus npzd structure represents ecosystem; synchronous timestep between physical, biogeochemical models","A→AB:0.00 (covered: —) | B→AB:0.31 (covered: ecosystem, npzd, nutrient, phytoplankton, structure) | A∪B→AB:0.31 (covered: ecosystem, npzd, nutrient, phytoplankton, structure) | uncovered_AB: between, biogeochemical, cycling, detritus, drive, physical, processes, represents, synchronous, timestep, zooplankton",Mismatch,INTENDED,Match,Shared hydrostatic assumption makes coupling feasible.,Match,The assumptions are compatible and can be integrated with minor adjustments.,Match,"Assumptions are compatible, despite low similarity score",Match
10,Conceptual Quality Gap,Links to Publications & Reports,Embedded,Pattern-agnostic,"oke et al., 2013, geosci. model dev., 6, 591-615; schiller et al., 2008; griffies, 2009","oke et al., 2013, geosci. model dev., 6, 591-615; matear, lenton, 2008; kidston et al., 2011",,Both provide metadata.,Match,INTENDED,Match,,Match,,Match,,Match
10,Conceptual Quality Gap,Authors’ Unique Identifier,Embedded,Pattern-agnostic,"p. r. oke; https, / / orcid.org / 0000-0002-5670-8435; model development, evaluation; a. schiller; https, / / orcid.org / 0000-0002-8741-6426; coupling, validation; r. j. matear; https, / / orcid.org / 0000-0001-6811-4422; biogeochemical model integration wombat","r. j. matear; https, / / orcid.org / 0000-0001-6811-4422; biogeochemical model development, integration; a. lenton; https, / / orcid.org / 0000-0002-1521-0944; carbon cycle, co₂ flux parameterizations; p. r. oke; https, / / orcid.org / 0000-0002-5670-8435; coupling with ofam3",,Both provide metadata.,Match,INTENDED,Match,,Match,,Match,,Match
10,Conceptual Quality Gap,Conceptual Model Evaluation,Embedded,Pattern-agnostic,"validated against satellite altimetry, sst climatologies, in-situ transports, enso indices, biogeochemical tracers","evaluated against observed chlorophyll-a, nutrient distributions, co₂ fluxes, oxygen cycles",,Both provide metadata.,Match,INTENDED,Match,,Match,,Match,,Match
10,Conceptual Quality Gap,Calibration Tools/Data,Embedded,Pattern-agnostic,"era-interim atmospheric forcing, climatological salinity, temperature, observed transports acc, itf, eac , satellite altimetry aviso , sst reynolds, amsr-e","iron deposition climatologies, nutrient, oxygen climatologies, observed co₂ fluxes, seawifs chlorophyll-a",,Both provide metadata.,Match,INTENDED,Match,,Match,,Match,,Match
10,Conceptual Quality Gap,Validation Capabilities,Embedded,Pattern-agnostic,"yes — validated extensively against observed sst, sla, mld, transports, enso variability, chlorophyll-a data","yes — validated with global chlorophyll, carbon cycle estimates, regional nutrient profiles",,Both provide metadata.,Match,INTENDED,Match,,Match,,Match,,Match
10,Conceptual Quality Gap,Sensitivity Analysis,Embedded,Pattern-agnostic,"sensitivity tested for vertical mixing, restoring timescales, atmospheric forcing","sensitivity tested for nutrient limitation, redfield ratio assumptions, light availability",,Both provide metadata.,Match,INTENDED,Match,,Match,,Match,,Match
10,Conceptual Quality Gap,Uncertainty Analysis,Embedded,Pattern-agnostic,"scenario-based hindcast vs forecast, comparison with multiple observational datasets","uncertainty from parameterizations, forcing, tested via ensemble, scenario runs",,Both provide metadata.,Match,INTENDED,Match,,Match,,Match,,Match
10,Data Schema Mismatch,Direction (any),Embedded,A.output ↔ B.input OR B.output ↔ A.input (≥1),A.out:sea level; sst; salinity; currents; mixed layer depth; transports; enso indices; chlorophyll-a from wombat,B.out:nutrient concentrations; phytoplankton biomass; zooplankton biomass; detritus; chlorophyll-a; oxygen; carbon fluxes,,A2B:×; B2A:×,Mismatch,INTENDED,Mismatch,Define a mediator schema that includes both physical and biogeochemical variables and implement adapters.,Mismatch,Develop a data schema converter to map between the incompatible schemas.,Mismatch,Align data schemas,Mismatch
10,Data Schema Mismatch,(A or B).input vs AB.input,Embedded,(A or B).input ↔ AB.input (similarity>0),A.in:surface heat; freshwater; momentum fluxes; satellite altimetry for sla validation | B.in:chlorophyll-a validation; dust / iron forcing fields,,(none),max=0.00 | missing: AB.input,Missing,INTENDED,missing,Missing fields: B+AB,missing,Missing fields: B+AB,missing,Missing fields: B+AB,missing
10,Data Schema Mismatch,(A or B).output vs AB.output,Embedded,(A or B).output ↔ AB.output (similarity>0),A.out:sea level; sst; salinity; currents; mixed layer depth; transports; enso indices; chlorophyll-a from wombat | B.out:nutrient concentrations; phytoplankton biomass; zooplankton biomass; detritus; chlorophyll-a; oxygen; carbon fluxes,,(none),max=0.00 | missing: AB.output,Missing,INTENDED,missing,Missing fields: B+AB,missing,Missing fields: B+AB,missing,Missing fields: B+AB,Match
10,Temporal Resolution Mismatch,time_steps_temporal_resolution,Embedded,Common exchanged variables align semantically,"3-hourly forcing, daily to monthly output",daily to monthly outputs,,A↔B token-sim=0.50 (>0 ⇒ aligned),Match,INTENDED,Match,,Match,,Match,,Match
10,Temporal Coverage Mismatch,temporal_extent_coverage,Embedded,Common exchanged variables align semantically,"multi-decadal integrations e.g., 32-year runs , operational short-range forecasts","multi-decadal integrations hindcast, scenario simulations",,A↔B token-sim=0.20 (>0 ⇒ aligned),Match,INTENDED,Match,,Match,,Match,,Match
10,Spatial Resolution Mismatch,spatial_resolution,Embedded,Common exchanged variables align semantically,"1 / 10° horizontal resolution, 5-10 m vertical resolution in upper 200 m","inherits grid resolution of ofam3 1 / 10° horizontal, variable vertical",,A↔B token-sim=0.40 (>0 ⇒ aligned),Match,INTENDED,Match,,Match,,Match,,Match
10,Spatial Coverage Mismatch,spatial_extent_coverage,Embedded,Common exchanged variables align semantically,"near-global ocean 75°s-75°n, all longitudes","same as coupled ocean circulation model ofam3, near-global ocean, 75°s-75°n",,A↔B token-sim=0.29 (>0 ⇒ aligned),Match,INTENDED,Match,,Match,,Match,,Match
10,Dimensionality Mismatch,dimensionality,Embedded,Common exchanged variables align semantically,"3d longitude, latitude, depth","3d longitude, latitude, depth",,A↔B token-sim=1.00 (>0 ⇒ aligned),Match,INTENDED,Match,,Match,,Match,,Match
10,Communication Mechanism Mismatch,communication_mechanism,Embedded,Pattern-graded requirement,,,,"Embedded requires A, B, and AB to declare mechanism.",Missing,INTENDED,missing,Missing fields: A+B+AB,missing,Missing fields: A+B+AB,missing,Missing fields: A+B+AB,missing
10,Error Handling Mismatch,error_handling,Embedded,Pattern-graded requirement,"runtime logging, constraints applied via restoring terms, no automated recovery","basic validation of boundary conditions, runtime checks in coupled execution with ofam3",,"Embedded requires A, B, and AB error handling.",Missing,INTENDED,missing,Missing fields: AB,missing,Missing fields: AB,missing,Missing fields: AB,missing
10,Execution Instruction Gap,execution_instructions,Embedded,Require both sides,"compiled, executed on hpc cluster, configured through namelist files for mom4p1, wombat modules","runs as a coupled module within ofam3, configured through shared namelist files",,Both A and B must provide.,Match,INTENDED,Match,,Match,,Match,,Match
10,Parallel Execution Incompatibility,parallel_execution,Embedded,Pattern-graded requirement,true,true,,"Embedded requires A, B, and AB to declare this.",Missing,INTENDED,missing,Missing fields: AB,missing,Missing fields: AB,missing,Missing fields: AB,Match
10,Execution Constraint Mismatch,execution_constraints,Embedded,Pattern-graded requirement,"ofam3 provides physical ocean state at each timestep, wombat runs synchronously","runs synchronously with ofam3, cannot operate stand-alone at full resolution","shared timestep, grid",Embedded requires synchronous/low-latency cues (as applicable).,Match,INTENDED,Match,,Match,,Match,,Match
10,Acknowledgment Protocol Mismatch,acknowledgment_protocols,Embedded,Pattern-graded requirement,,,,"Embedded requires A, B, and AB to declare this.",Missing,INTENDED,missing,Missing fields: A+B+AB,missing,Missing fields: A+B+AB,missing,Missing fields: A+B+AB,missing
10,Latency Expectation Mismatch,latency_expectations,Embedded,Pattern-graded requirement,real-time coupling within same simulation run,real-time coupling within the same integration,synchronous,Embedded requires synchronous/low-latency cues (as applicable).,Match,INTENDED,Match,,Match,,Match,,Match
10,Data Synchronization,data_synchronization,Embedded,Pattern-graded requirement,"in-memory exchange of state variables between mom4p1, wombat","in-memory exchange of tracer fields, physical state variables",in-memory exchange,Embedded expects explicit synchronous/lockstep cues.,Mismatch,INTENDED,Match,Data flow description matches integration pattern.,Mismatch,Align data synchronization mechanisms across both models.,Mismatch,Implement compatible data synchronization mechanisms,Match
10,Programming Language Incompatibility,programming_language,Embedded,Exact equality required,"fortran mom4p1 core, coupled with wombat biogeochemistry",fortran coupled with mom4p1 in ofam3,,Not equal.,Mismatch,INTENDED,Match,Both expose Fortran interfaces; additional C++ in B does not prevent coupling via FABM.,Match,The programming languages are compatible and can be integrated.,Match,Programming languages are compatible: fortran and c++,Match
10,Source Code Availability Gap,availability_of_source_code (A),Embedded,Presence required,,,,A provides metadata,Missing,INTENDED,missing,Missing fields: A+B+AB,missing,Missing fields: A+B+AB,missing,Missing fields: A+B+AB,missing
10,Source Code Availability Gap,availability_of_source_code (B),Embedded,Presence required,,,,B provides metadata,Missing,INTENDED,missing,Missing fields: A+B+AB,missing,Missing fields: A+B+AB,missing,Missing fields: A+B+AB,missing
