group,bottleneck,field,pattern,required_check,A_value,B_value,AB_value,detail,result,ab_kind,LLM-Result,LLM-suggestion
3,Data Schema Mismatch,(A or B).output vs AB.output,Loose,(A or B).output ↔ AB.output (similarity>0),A.out:significant_wave_height; stokes_drift_surface_u; stokes_drift_surface_v; stokes_drift_profile_parameters; wave_modified_stress_to_ocean; wave_breaking_tke_flux; spectral_density | B.out:sea_surface_temperature; sea_surface_salinity; surface_current_u; surface_current_v; mixed_layer_depth; sea_ice_concentration; surface_stress_to_atmosphere,,coupled history of wave; ocean exchange fields per coupling interval,max=0.11,Match,INTENDED,Mismatch,Ensure AB.output is compatible with A.output and B.output.
3,Data Schema Mismatch,A.output,Loose,A.output ↔ B.input (≥1),significant_wave_height; stokes_drift_surface_u; stokes_drift_surface_v; stokes_drift_profile_parameters; wave_modified_stress_to_ocean; wave_breaking_tke_flux; spectral_density,stokes_drift_surface_u; stokes_drift_surface_v; stokes_profile_scale; wave_modified_stress_to_ocean; wave_breaking_tke_flux; sea_ice_concentration; wave-induced fields from a spectral wave model plus standard surface forcing; provides stokes drift; wave-modified stress; breaking-induced tke flux; surface wind stress; heat / freshwater fluxes; runoff; restoring fields; sea-ice fields if lim is enabled,,stokes_drift_surface_u ↔ stokes_drift_surface_u (1.00); stokes_drift_surface_v ↔ stokes_drift_surface_u (1.00); stokes_drift_profile_parameters ↔ stokes_drift_surface_u (0.50); wave_modified_stress_to_ocean ↔ wave_modified_stress_to_ocean (1.00); wave_breaking_tke_flux ↔ wave_breaking_tke_flux (1.00),Match,INTENDED,Match,
3,Data Schema Mismatch,B.output,Loose,B.output ↔ A.input (≥1),sea_surface_temperature; sea_surface_salinity; surface_current_u; surface_current_v; mixed_layer_depth; sea_ice_concentration; surface_stress_to_atmosphere,wind_u10; wind_v10; sea_ice_concentration; surface_current_u; surface_current_v; atmospheric winds; optional ocean / ice modifiers; optional surface currents; sea-ice fraction for wave-current / ice effects; 10 m wind u10; v10; sea-ice concentration attenuation; bathymetry; coastlines,,surface_current_u ↔ surface_current_u (1.00); surface_current_v ↔ surface_current_u (1.00); sea_ice_concentration ↔ sea_ice_concentration (1.00),Match,INTENDED,Match,
3,Data Synchronization,data_synchronization,Loose,Pattern-graded requirement,wave outputs can be time-interpolated to ocean model coupling times,file / coupler-based exchange when coupled,"file / coupler-based, lagged exchange no in-memory sync",Loose requires at least one declaration of synchronization.,Match,INTENDED,Match,
3,Dimensionality Mismatch,dimensionality,Loose,Common exchanged variables align semantically,2d spatial + 2d spectral frequency × direction,3d,,A↔B token-sim=0.00 (>0 ⇒ aligned),Mismatch,INTENDED,Mismatch,Align dimensionality semantically.
3,Distribution Version Mismatch,distribution_version,Loose,Pattern-graded similarity/equality,cy38r1,v3.4,,A↔B token-sim=0.00 (> 0.00),Mismatch,INTENDED,Mismatch,Ensure distribution versions are similar or equal.
3,Error Handling Mismatch,error_handling,Loose,Pattern-graded requirement,"built-in diagnostics, stability checks","diagnostics for cfl, nans, restart safety",,Both A and B or AB canonical required.,Match,INTENDED,Mismatch,Declare error handling for both sides or AB.
3,Execution Constraint Mismatch,execution_constraints,Loose,Pattern-graded requirement,"when coupled, grid remapping to ocean grid may be required","when coupled, ensure consistent coupling interval, grid remapping","coordinate coupling interval e.g., hourly-3-hourly , remap grids as needed, no requirement for same timestep",Loose requires at least one side (or AB) to declare this.,Match,INTENDED,Match,
3,Execution Instruction Gap,execution_instructions,Loose,Require A or B,"run with wind forcing e.g., ecmwf analyses , grid configuration, time step settings","configure via namelists, compile, supply grid / bathymetry / forcing files",,At least one side must provide.,Match,INTENDED,Match,
3,File Format Mismatch,file_formats,Loose,Presence required,,,,Neither provides metadata.,Missing,INTENDED,Mismatch,Declare file formats for at least one side.
3,Hardware Resource Mismatch,hardware_specification_and_requirements,Loose,Pattern-graded similarity/equality,hpc or workstation,parallel hpc cluster,,A↔B token-sim=0.25 (> 0.00),Match,INTENDED,Mismatch,Review hardware specifications and requirements for compatibility.
3,Implementation Verification Gap,implementation_verification (A),Loose,Presence required,"benchmarked vs. buoys / altimeters, operational comparisons; compared to buoy / altimeter wave heights, spectra",,,A provides metadata,Match,INTENDED,Missing,
3,Implementation Verification Gap,implementation_verification (B),Loose,Presence required,"reference configurations, test cases; compared with observations, reanalyses",,,B provides metadata,Match,INTENDED,Missing,
3,Landing Page Gap,landing_page (A),Loose,Presence required,"https, / / www.ecmwf.int / en / research / modelling-and-prediction / wave-model",,,A provides landing page,Match,INTENDED,Missing,
3,Landing Page Gap,landing_page (B),Loose,Presence required,"https, / / www.nemo-ocean.eu /",,,B provides landing page,Match,INTENDED,Missing,
3,Latency Expectation Mismatch,latency_expectations,Loose,Pattern-graded requirement,typically produces fields at hourly-3-hourly cadence,typical exchange hourly-3-hourly when used in ab,exchange at coarse cadence hourly-3-hourly typical,Loose requires at least one side (or AB) to declare this.,Match,INTENDED,Match,
3,License Incompatibility,license,Loose,Pattern-graded requirement,ecmwf license non-commercial use,cecill-c,,A↔B token-sim=0.00 (> 0.00),Mismatch,INTENDED,Mismatch,Review license compatibility.
3,Parallel Execution Incompatibility,parallel_execution,Loose,Pattern-graded requirement,true,true,co-run or sequential per coupling cycle,Loose requires at least one side (or AB) to declare this.,Match,INTENDED,Match,
3,Programming Language Incompatibility,programming_language,Loose,Pattern-graded similarity/equality,fortran,fortran 90,,A↔B token-sim=0.50 (> 0.00),Match,INTENDED,Match,
3,Semantic Mismatch,Assumptions,Loose,Coverage threshold ≥ 0.50,"linear wave theory with source / sink terms; spectral representation in frequency-direction space; waves forced primarily by 10 m winds, dissipation via breaking, bottom friction","boussinesq, hydrostatic primitive equations; gls / tke turbulence closures; structured grid e.g., orca with lateral mixing schemes","components expose required variables drift, stress, fluxes, currents, sea-ice; cadence allows lagged feedback without every-step sync; units, sign conventions, grids can be harmonized remapping as needed","A→AB:0.00 (covered: —) | B→AB:0.00 (covered: —) | A∪B→AB:0.00 (covered: —) | uncovered_AB: allows, be, cadence, can, conventions, currents, drift, every, expose, feedback, grids, harmonized, lagged, needed, remapping, required, sign, step, stress, sync, units, without",Mismatch,INTENDED,Mismatch,Review and align assumptions for compatibility.
3,Semantic Mismatch,Description,Loose,Coverage threshold ≥ 0.50,"a spectral wave model developed by ecmwf to simulate surface gravity waves. it computes the evolution of the wave spectrum, including energy input from wind, nonlinear interactions, dissipation by wave breaking, bottom friction.; growth, dissipation, nonlinear interaction coefficients; atmospheric winds, optional ocean / ice modifiers; optional surface currents, sea-ice fraction for wave-current / ice effects","a state-of-the-art ocean general circulation model for simulating the global ocean, including thermohaline circulation, upper-ocean mixing. in configurations with wave coupling, nemo ingests stokes drift, sea-state dependent momentum flux, wave-breaking tke flux to represent wave effects on currents, mixing.; mixing, coupling controls e.g., langmuir / wave settings; wave-induced fields from a spectral wave model plus standard surface forcing; provides stokes drift, wave-modified stress, breaking-induced tke flux","a conceptual loose-coupling plan between a spectral wave model, an ocean circulation model. wave fields e.g., stokes drift, wave-modified stress, breaking-induced tke flux are provided to the ocean, the ocean can return surface currents, sea-ice fraction to the wave model. exchanges occur via files or a coupler at a coarse cadence no in-memory synchronization .; provides stokes_drift, wave-modified stress, wave-breaking tke flux to the ocean; provides surface currents, sea-ice concentration back to the wave model optional","A→AB:0.18 (covered: breaking, currents, fraction, optional, spectral, wave) | B→AB:0.38 (covered: breaking, circulation, coupling, currents, drift, induced, modified, provides, spectral, stokes, stress, tke, wave) | A∪B→AB:0.44 (covered: breaking, circulation, coupling, currents, drift, fraction, induced, modified, optional, provides, spectral, stokes, stress, tke, wave) | uncovered_AB: are, back, between, cadence, can, coarse, concentration, conceptual, coupler, files, loose, memory, no, occur, plan, provided, return, synchronization, via",Mismatch,INTENDED,Mismatch,Review and align descriptions for compatibility.
3,Semantic Mismatch,Keywords,Loose,Coverage threshold ≥ 0.50,wave modeling; spectral wave model; stokes drift; wind-wave interaction; wave-current interaction; surface roughness,ocean circulation; mixed layer dynamics; stokes drift; sea-state dependent stress; wave-ocean coupling,wave-ocean coupling; stokes drift; sea-state dependent stress; upper-ocean mixing; netcdf exchange; coupler,"A→AB:0.27 (covered: drift, stokes, wave) | B→AB:0.64 (covered: coupling, dependent, drift, state, stokes, stress, wave) | A∪B→AB:0.64 (covered: coupling, dependent, drift, state, stokes, stress, wave) | uncovered_AB: coupler, mixing, netcdf, upper",Match,INTENDED,Match,
3,Semantic Mismatch,Model Type,Loose,Coverage threshold ≥ 0.50,mechanistic,mechanistic,mechanistic intended,A→AB:1.00 (covered: mechanistic) | B→AB:1.00 (covered: mechanistic) | A∪B→AB:1.00 (covered: mechanistic) | uncovered_AB: —,Match,INTENDED,Match,
3,Semantic Mismatch,Model Version,Loose,A or B must equal AB exactly,cy38r1 as used in paper; 2015; v3.4,v3.4 used in experiments; 2015; cy38r1,cy38r1; v3.4,A==AB:×; B==AB:×,Mismatch,INTENDED,Mismatch,Align model versions for compatibility.
3,Semantic Mismatch,Purpose & Pattern,Loose,Coverage threshold ≥ 0.50,"simulate ocean surface wave spectrum, provide wave-induced parameters for air-sea interaction; standalone wave model or coupled via flux / field exchange","simulate 3d ocean currents, temperature, salinity, mixing, optionally sea ice / biogeochemistry; modular ocean core with optional coupling to waves, atmosphere","simulate bidirectional interactions between waves, ocean mixing / circulation; modular integration of wave model with ocean model via file / coupler exchange; loose","A→AB:0.21 (covered: simulate, via, wave) | B→AB:0.29 (covered: mixing, modular, simulate, waves) | A∪B→AB:0.43 (covered: mixing, modular, simulate, via, wave, waves) | uncovered_AB: between, bidirectional, circulation, coupler, file, integration, interactions, loose",Mismatch,INTENDED,Mismatch,Review and align purpose and pattern for compatibility.
3,Semantic Mismatch,Scope,Loose,Coverage threshold ≥ 0.50,"global, regional surface wave dynamics","global, regional ocean basins",regional or global upper-ocean systems influenced by surface waves,"A→AB:0.33 (covered: global, regional) | B→AB:0.33 (covered: global, regional) | A∪B→AB:0.33 (covered: global, regional) | uncovered_AB: influenced, systems, upper, waves",Mismatch,INTENDED,Mismatch,Review and align scope for compatibility.
3,Semantic Mismatch,Title,Loose,Coverage threshold ≥ 0.50,"ecwam, ecmwf wave model; wave_model_parameters; øyvind breivik","nemo, nucleus for european modelling of the ocean; nemo_config_parameters; jean-marc molines; øyvind breivik",user-defined coupled ocean-surface wave modeling framework; stokes_drift_surface_u; stokes_drift_surface_v; stokes_profile_scale; wave_modified_stress_to_ocean; wave_breaking_tke_flux; surface_current_u; surface_current_v; sea_ice_concentration,"A→AB:0.08 (covered: wave) | B→AB:0.00 (covered: —) | A∪B→AB:0.08 (covered: wave) | uncovered_AB: breaking, concentration, current, drift, modeling, modified, profile, scale, stokes, stress, tke",Mismatch,INTENDED,Mismatch,Review and align titles for compatibility.
3,Software Environment Mismatch,software_specification_and_requirements,Loose,Pattern-graded similarity/equality,"netcdf i / o, mpi, ecmwf wave physics; 10 m wind u10, v10; sea-ice concentration attenuation; bathymetry, coastlines","mpi, netcdf, decomposition libraries; surface wind stress, heat / freshwater fluxes; runoff, restoring fields; sea-ice fields if lim is enabled","netcdf i / o, optional coupler e.g., oasis-mct , regridding tools",A↔B token-sim=0.16 (> 0.00),Match,INTENDED,Mismatch,Review and align software specifications and requirements for compatibility.
3,Source Code Availability Gap,availability_of_source_code (A),Loose,Presence required,,,,A provides metadata,Missing,INTENDED,Missing,
3,Source Code Availability Gap,availability_of_source_code (B),Loose,Optional at this pattern,,,,Optional.,Match,INTENDED,Match,
3,Spatial Coverage Mismatch,spatial_extent_coverage,Loose,Common exchanged variables align semantically,global or regional ocean surface,global ocean or regional subdomains,,A↔B token-sim=0.67 (>0 ⇒ aligned),Match,INTENDED,Match,
3,Spatial Resolution Mismatch,spatial_resolution,Loose,Common exchanged variables align semantically,typically 1 / 8° to 1 / 4°,varies from 1° to eddy-resolving ≤1 / 4°,,A↔B token-sim=0.17 (>0 ⇒ aligned),Match,INTENDED,Match,
3,Temporal Coverage Mismatch,temporal_extent_coverage,Loose,Common exchanged variables align semantically,days to decades,multi-decadal to centennial,,A↔B token-sim=0.00 (>0 ⇒ aligned),Mismatch,INTENDED,Match,
3,Temporal Resolution Mismatch,time_steps_temporal_resolution,Loose,Common exchanged variables align semantically,hourly to 3-hourly,hourly to daily,,A↔B token-sim=0.33 (>0 ⇒ aligned),Match,INTENDED,Match,
