group,bottleneck,field,pattern,required_check,A_value,B_value,AB_value,detail,result,ab_kind,LLM-Result,LLM-suggestion
2,Data Synchronization,data_synchronization,Loose,Pattern-graded requirement,,,"ice, ocean components exchange data at defined coupling intervals",Loose requires at least one declaration of synchronization.,Match,INTEGRATED,Match,
2,Dimensionality Mismatch,dimensionality,Loose,Common exchanged variables align semantically,2d plan-view or 3d,3d,"2d ice sheet , 3d ocean",A↔B token-sim=0.33 (>0 ⇒ aligned),Match,INTEGRATED,Match,
2,Distribution Version Mismatch,distribution_version,Loose,Pattern-graded similarity/equality,2016.1,2016.1,2016.1,A↔B token-sim=1.00 (> 0.00),Match,INTEGRATED,Match,
2,Error Handling Mismatch,error_handling,Loose,Pattern-graded requirement,"model-specific logging, validation","model-specific, restart on numerical instability","model-dependent, intercomparison framework recommends error logging, diagnostics",Both A and B or AB canonical required.,Match,INTEGRATED,Match,
2,Execution Constraint Mismatch,execution_constraints,Loose,Pattern-graded requirement,,,"ice model uses ocean melt rates as forcing, ocean model uses updated ice geometry periodically",Loose requires at least one side (or AB) to declare this.,Match,INTEGRATED,Match,
2,Execution Instruction Gap,execution_instructions,Loose,Require A or B,"initialize, apply melt forcing, run per protocol","initialize from t / s fields, apply geometry, integrate for scenario period",,At least one side must provide.,Match,INTEGRATED,Match,
2,File Format Mismatch,file_formats,Loose,Pattern-graded similarity/equality,netcdf,netcdf,,A↔B token-sim=1.00 (> 0.00),Match,INTEGRATED,Match,
2,Hardware Resource Mismatch,hardware_specification_and_requirements,Loose,Pattern-graded similarity/equality,workstation to hpc,hpc recommended,hpc cluster or workstation with multi-core capability,A↔B token-sim=0.33 (> 0.00),Match,INTEGRATED,Mismatch,Ensure hardware specifications are compatible and clearly define the requirements for both workstation and HPC environments.
2,Implementation Verification Gap,implementation_verification (A),Loose,Presence required,"consensus steady-state, perturbation responses; comparison to analytical, multi-model results",,,A provides metadata,Match,INTEGRATED,Missing,
2,Implementation Verification Gap,implementation_verification (B),Loose,Presence required,multi-model agreement on plume structure; compared to baseline steady-state results,,,B provides metadata,Match,INTEGRATED,Missing,
2,Landing Page Gap,landing_page (A),Loose,Presence required,"https, / / www.geosci-model-dev.net / 9 / 2471 / 2016 /",,,A provides landing page,Match,INTEGRATED,Missing,
2,Landing Page Gap,landing_page (B),Loose,Presence required,"https, / / www.geosci-model-dev.net / 9 / 2471 / 2016 /",,,B provides landing page,Match,INTEGRATED,Missing,
2,Latency Expectation Mismatch,latency_expectations,Loose,Pattern-graded requirement,,,"minimal, with fixed interval coupling ~1 year",Loose requires at least one side (or AB) to declare this.,Match,INTEGRATED,Mismatch,Define latency expectations for both A and B to ensure compatibility with the AB value.
2,License Incompatibility,license,Loose,Pattern-graded requirement,open model experiment specification,open model experimental design,,A↔B token-sim=0.20 (> 0.00),Match,INTEGRATED,Mismatch,Ensure licenses are compatible or provide a clear explanation of how the differences are managed.
2,Parallel Execution Incompatibility,parallel_execution,Loose,Pattern-graded requirement,true,true,true,Loose requires at least one side (or AB) to declare this.,Match,INTEGRATED,Match,
2,Programming Language Incompatibility,programming_language,Loose,Pattern-graded similarity/equality,fortran; c++; python,fortran; c++,"fortran, c++, python varies by component model",A↔B token-sim=0.67 (> 0.00),Match,INTEGRATED,Match,
2,Semantic Mismatch,Assumptions,Loose,Coverage threshold ≥ 0.50,"2d or 3d flow approximations ssa, sia, hybrid, or full-stokes; prescribed bed topography, accumulation fields; synthetic ice shelf geometry","ice draft geometry, grounding line provided externally; no atmospheric or sea-ice interactions; idealized far-field ocean restoring","shared topography, domain between ice, ocean components; ocean-induced melting is a dominant driver of grounding-line retreat; simplified melt rate parameterization at the ice-ocean interface; no external atmosphere or sea ice forcing; idealized bedrock, open-ocean boundary conditions","A→AB:0.04 (covered: topography) | B→AB:0.16 (covered: grounding, idealized, line, no) | A∪B→AB:0.20 (covered: grounding, idealized, line, no, topography) | uncovered_AB: atmosphere, bedrock, between, boundary, conditions, domain, dominant, driver, external, forcing, induced, interface, is, melt, melting, open, parameterization, retreat, shared, simplified",Mismatch,INTEGRATED,Mismatch,"Review and align assumptions between A, B, and AB to ensure semantic compatibility."
2,Semantic Mismatch,Description,Loose,Coverage threshold ≥ 0.50,"idealized benchmark experiments to evaluate marine ice sheet model behavior, with a focus on grounding-line dynamics, buttressing under varying sub-shelf melt rates. used here as the ice component that consumes ocean-driven melt rates, produces updated ice geometry.; sub-shelf melt-rate fields provided externally e.g., from isomip+ runs; topography, ice rheology, sliding laws; sub-shelf melt rates used as forcing","ocean-only benchmark experiments simulating circulation, melt beneath idealized ice shelves. used here as the ocean component that consumes ice geometry, produces sub-shelf melt rates.; ice geometry from an ice-sheet model run e.g., mismip+; thermodynamics, drag coefficients, far-field profiles; ice geometry to drive ocean cavity model","a modular modeling framework that integrates marine ice sheet models mismip+ with regional ocean circulation models isomip+ to simulate the coupled dynamics of ice sheet retreat, ocean-induced basal melting. misomip1 is designed for idealized domains resembling the amundsen sea embayment to assess the feedbacks between ocean circulation, grounding-line migration under varying thermal conditions.; prescribed far-field ocean profiles, melt parameterizations, coupling time steps; initial, evolving ice draft, grounding-line geometry; sub-shelf melt rates, ocean feedbacks","A→AB:0.28 (covered: dynamics, geometry, grounding, idealized, isomip, isomip+, isomipplus, line, marine, melt, sheet, sub, that, varying) | B→AB:0.24 (covered: circulation, far, geometry, idealized, melt, mismip, mismip+, mismipplus, profiles, sheet, sub, that) | A∪B→AB:0.40 (covered: circulation, dynamics, far, geometry, grounding, idealized, isomip, isomip+, isomipplus, line, marine, melt, mismip, mismip+, mismipplus, profiles, sheet, sub, that, varying) | uncovered_AB: amundsen, assess, basal, between, conditions, coupling, designed, domains, draft, embayment, evolving, feedbacks, induced, initial, integrates, is, melting, migration, misomip1, modeling, modular, parameterizations, prescribed, regional, resembling, retreat, simulate, steps, thermal, time",Mismatch,INTEGRATED,Mismatch,Ensure the descriptions of A and B are semantically aligned with AB to meet the coverage threshold.
2,Semantic Mismatch,Keywords,Loose,Coverage threshold ≥ 0.50,marine ice sheets; grounding line; ice shelf; ice dynamics; sea-level rise; intercomparison,ice shelf; sub-shelf melting; ocean circulation; ocean modeling; benchmarking,marine ice sheet; ice-ocean interaction; coupled modeling; sub-shelf melting; grounding line; sea-level rise; model integration,"A→AB:0.45 (covered: grounding, level, line, marine, rise) | B→AB:0.27 (covered: melting, modeling, sub) | A∪B→AB:0.73 (covered: grounding, level, line, marine, melting, modeling, rise, sub) | uncovered_AB: integration, interaction, sheet",Match,INTEGRATED,Match,
2,Semantic Mismatch,Model Type,Loose,Coverage threshold ≥ 0.50,mechanistic,mechanistic,mechanistic,A→AB:1.00 (covered: mechanistic) | B→AB:1.00 (covered: mechanistic) | A∪B→AB:1.00 (covered: mechanistic) | uncovered_AB: —,Match,INTEGRATED,Match,
2,Semantic Mismatch,Model Version,Loose,A or B must equal AB exactly,2016.1,2016.1,2016.1,A==AB:✓; B==AB:✓,Match,INTEGRATED,Match,
2,Semantic Mismatch,Purpose & Pattern,Loose,Coverage threshold ≥ 0.50,"benchmark grounding-line treatment, sensitivity to ocean-induced melting; consumes prescribed sub-shelf melt-rate fields to update ice geometry","simulate sub-shelf melt rates in response to thermal forcing using supplied ice geometry; consumes ice draft, grounding-line fields to compute melt","evaluate, benchmark coupled ice sheet-ocean model performance under climate-relevant forcing scenarios; modular coupling of standalone ice, ocean models in a shared idealized domain; loose","A→AB:0.07 (covered: benchmark) | B→AB:0.07 (covered: forcing) | A∪B→AB:0.13 (covered: benchmark, forcing) | uncovered_AB: climate, coupling, domain, evaluate, idealized, loose, modular, performance, relevant, scenarios, shared, sheet, standalone",Mismatch,INTEGRATED,Mismatch,Align the purpose and pattern descriptions of A and B with AB to meet the coverage threshold.
2,Semantic Mismatch,Scope,Loose,Coverage threshold ≥ 0.50,idealized marine ice sheet domains at decadal to centennial scale,"idealized sub-ice shelf cavities, multi-decade simulations","idealized antarctic marine-terminating glacier systems e.g., pine island glacier analog","A→AB:0.22 (covered: idealized, marine) | B→AB:0.11 (covered: idealized) | A∪B→AB:0.22 (covered: idealized, marine) | uncovered_AB: analog, antarctic, glacier, island, pine, systems, terminating",Mismatch,INTEGRATED,Mismatch,Ensure the scope descriptions of A and B are semantically aligned with AB to meet the coverage threshold.
2,Semantic Mismatch,Title,Loose,Coverage threshold ≥ 0.50,"mismip+, marine ice sheet model intercomparison project, phase 3; mismipplus_parameters; stephen l. cornford; xylar s. asay-davis","isomip+, ice shelf-ocean model intercomparison project, phase 2; isomipplus_parameters; paul r. holland; xylar s. asay-davis","misomip1, coupled marine ice sheet-ocean model intercomparison framework; coupledmodel_forcing_parameters; xylar s. asay-davis; stephen l. cornford; paul r. holland","A→AB:0.64 (covered: asay, cornford, davis, intercomparison, marine, parameters, sheet, stephen, xylar) | B→AB:0.50 (covered: asay, davis, holland, intercomparison, parameters, paul, xylar) | A∪B→AB:0.79 (covered: asay, cornford, davis, holland, intercomparison, marine, parameters, paul, sheet, stephen, xylar) | uncovered_AB: coupledmodel, forcing, misomip1",Match,INTEGRATED,Match,
2,Software Environment Mismatch,software_specification_and_requirements,Loose,Pattern-graded similarity/equality,ice sheet model with grounding-line tracking,ocean model with ice-shelf cavity capability,"ice sheet, ocean model infrastructure, netcdf-compatible i / o; mismip+ initial ice geometry; isomip+ ocean temperature / salinity restoring profiles",A↔B token-sim=0.00 (> 0.00),Mismatch,INTEGRATED,Mismatch,Ensure software specifications and requirements are compatible between A and B.
2,Source Code Availability Gap,availability_of_source_code (A),Loose,Presence required,false,,,A provides metadata,Match,INTEGRATED,Missing,
2,Source Code Availability Gap,availability_of_source_code (B),Loose,Presence required,false,,,B provides metadata,Match,INTEGRATED,Missing,
2,Spatial Coverage Mismatch,spatial_extent_coverage,Loose,Common exchanged variables align semantically,idealized ice sheet-shelf domain,idealized ocean cavity,"640 km × 80 km domain with ice shelf, ocean cavity plus 160 km ocean extension",A↔B token-sim=0.25 (>0 ⇒ aligned),Match,INTEGRATED,Match,
2,Spatial Resolution Mismatch,spatial_resolution,Loose,Common exchanged variables align semantically,100 m-1 km,"2 km horizontal, variable vertical","variable, typically 0.5-2 km horizontal",A↔B token-sim=0.20 (>0 ⇒ aligned),Match,INTEGRATED,Match,
2,Temporal Coverage Mismatch,temporal_extent_coverage,Loose,Common exchanged variables align semantically,100-1000 years,1-100 years,century-scale simulations up to 1000 years,A↔B token-sim=0.33 (>0 ⇒ aligned),Match,INTEGRATED,Match,
2,Temporal Resolution Mismatch,time_steps_temporal_resolution,Loose,Common exchanged variables align semantically,,,"daily ocean , annual / sub-annual ice",One or both sides missing metadata.,Missing,INTEGRATED,Missing,Provide A_value and B_value for temporal resolution to assess compatibility.
