group,bottleneck,field,pattern,required_check,A_value,B_value,AB_value,detail,result,ab_kind,constraint_template,constraint_category,rm_odp_viewpoint,evaluation_mode,verdict,explanation,adaptation,in_paper_appendix
3,Semantic Mismatch,Model Version,Loose,A or B must equal AB exactly,cy38r1 as used in breivik et al. 2015; 2015; v3.4,v3.4 configuration used in breivik et al. 2015; 2015; cy38r1,cy38r1; v3.4,A==AB:×; B==AB:×,Mismatch,INTENDED,(auxiliary) Semantic Mismatch / Model Version,PatternAgnostic,Domain,Deterministic,Mismatch,Deterministic check: A==AB:×; B==AB:×,Introduce an explicit mediation/adaptation step to resolve this incompatibility before integration.,False
3,Semantic Mismatch,Purpose & Pattern,Loose,Coverage threshold ≥ 0.50,"simulate the ocean surface wave spectrum, provide wave-induced parameters for air-sea, wave-ocean interaction; standalone wave model, optionally coupled via flux / field exchange to atmosphere and / or ocean models","simulate 3d ocean currents, temperature, salinity, mixing, sea ice, with optional wave-aware upper-ocean physics; modular ocean core with optional coupling to waves, atmosphere via flux, field exchange","simulate bidirectional interactions between waves, ocean mixing / circulation; modular integration of wave model with ocean model via file / coupler exchange; loose","A→AB:0.21 (covered: simulate, via, wave) | B→AB:0.43 (covered: mixing, modular, simulate, via, wave, waves) | A∪B→AB:0.43 (covered: mixing, modular, simulate, via, wave, waves) | uncovered_AB: between, bidirectional, circulation, coupler, file, integration, interactions, loose",Mismatch,INTENDED,Purpose Compatibility,PatternAgnostic,Domain,LLMAssisted,Mismatch,,,True
3,Semantic Mismatch,Scope,Loose,Coverage threshold ≥ 0.50,"global, regional surface wave dynamics","global, regional ocean basins",regional or global upper-ocean systems influenced by surface waves,"A→AB:0.33 (covered: global, regional) | B→AB:0.33 (covered: global, regional) | A∪B→AB:0.33 (covered: global, regional) | uncovered_AB: influenced, systems, upper, waves",Mismatch,INTENDED,Scope Compatibility,PatternAgnostic,Domain,LLMAssisted,Mismatch,,,True
3,Semantic Mismatch,Title,Loose,Coverage threshold ≥ 0.50,"ecwam, ecmwf wave model; wave_model_parameters; øyvind breivik","nemo, nucleus for european modelling of the ocean; nemo_config_parameters; jean-marc molines; øyvind breivik",user-defined coupled ocean-surface wave modeling framework; stokes_drift_surface_u; stokes_drift_surface_v; stokes_profile_scale; wave_modified_stress_to_ocean; wave_breaking_tke_flux; surface_current_u; surface_current_v; sea_ice_concentration,"A→AB:0.08 (covered: wave) | B→AB:0.00 (covered: —) | A∪B→AB:0.08 (covered: wave) | uncovered_AB: breaking, concentration, current, drift, modeling, modified, profile, scale, stokes, stress, tke",Mismatch,INTENDED,(auxiliary) Semantic Mismatch / Title,PatternAgnostic,Domain,Deterministic,Mismatch,"Deterministic check: A→AB:0.08 (covered: wave) | B→AB:0.00 (covered: —) | A∪B→AB:0.08 (covered: wave) | uncovered_AB: breaking, concentration, current, drift, modeling, modified, profile, scale, stokes, stress, tke",Introduce an explicit mediation/adaptation step to resolve this incompatibility before integration.,False
3,Source Code Availability Gap,availability_of_source_code (A),Loose,Presence required,,,,A provides metadata,Missing,INTENDED,(auxiliary) Source Code Availability Gap / availability_of_source_code (A),RuntimeLevel,Technology,Deterministic,Gap,Deterministic check: A provides metadata,Provide the missing metadata field(s) for both models before this constraint can be assessed.,False
3,Unit Mismatch,A.output(stokes_drift_profile_parameters # e-folding depth / inverse scale m^-1) -> B.input(inverse depth scale for stokes drift profile),Loose,Both sides must declare a unit for the exchanged variable,,,,Unit not declared on one or both sides.,Missing,INTENDED,Unit Compatibility,InformationLevel,Information,Deterministic,Gap,Deterministic check: Unit not declared on one or both sides.,Provide the missing metadata field(s) for both models before this constraint can be assessed.,True
3,Unit Mismatch,A.output(stokes_drift_surface_u # m s^-1) -> B.input(stokes_drift_surface_u # m s^-1),Loose,Both sides must declare a unit for the exchanged variable,,As indicated inline,,Unit not declared on one or both sides.,Missing,INTENDED,Unit Compatibility,InformationLevel,Information,Deterministic,Gap,Deterministic check: Unit not declared on one or both sides.,Provide the missing metadata field(s) for both models before this constraint can be assessed.,True
3,Unit Mismatch,A.output(stokes_drift_surface_v # m s^-1) -> B.input(stokes_drift_surface_u # m s^-1),Loose,Both sides must declare a unit for the exchanged variable,,As indicated inline,,Unit not declared on one or both sides.,Missing,INTENDED,Unit Compatibility,InformationLevel,Information,Deterministic,Gap,Deterministic check: Unit not declared on one or both sides.,Provide the missing metadata field(s) for both models before this constraint can be assessed.,True
3,Unit Mismatch,A.output(wave_breaking_tke_flux # w m^-2) -> B.input(wave_breaking_tke_flux # w m^-2),Loose,Both sides must declare a unit for the exchanged variable,,,,Unit not declared on one or both sides.,Missing,INTENDED,Unit Compatibility,InformationLevel,Information,Deterministic,Gap,Deterministic check: Unit not declared on one or both sides.,Provide the missing metadata field(s) for both models before this constraint can be assessed.,True
3,Unit Mismatch,A.output(wave_modified_stress_to_ocean # n m^-2 water-side stress factor) -> B.input(wave_modified_stress_to_ocean # n m^-2 ratio or absolute water-side stress),Loose,Both sides must declare a unit for the exchanged variable,,,,Unit not declared on one or both sides.,Missing,INTENDED,Unit Compatibility,InformationLevel,Information,Deterministic,Gap,Deterministic check: Unit not declared on one or both sides.,Provide the missing metadata field(s) for both models before this constraint can be assessed.,True
3,Unit Mismatch,B.output(surface_current_u # m s^-1) -> A.input(surface_current_u # m s^-1 optional),Loose,Both sides must declare a unit for the exchanged variable,,,,Unit not declared on one or both sides.,Missing,INTENDED,Unit Compatibility,InformationLevel,Information,Deterministic,Gap,Deterministic check: Unit not declared on one or both sides.,Provide the missing metadata field(s) for both models before this constraint can be assessed.,True
3,Unit Mismatch,B.output(surface_current_v # m s^-1) -> A.input(surface_current_v # m s^-1 optional),Loose,Both sides must declare a unit for the exchanged variable,,,,Unit not declared on one or both sides.,Missing,INTENDED,Unit Compatibility,InformationLevel,Information,Deterministic,Gap,Deterministic check: Unit not declared on one or both sides.,Provide the missing metadata field(s) for both models before this constraint can be assessed.,True
