group,bottleneck,field,pattern,required_check,A_value,B_value,AB_value,detail,result,ab_kind,LLM-Result,LLM-suggestion
9,Semantic Mismatch,Assumptions,Integrated,Coverage threshold ≥ 0.50,"hydrostatic balance; spherical harmonics basis for spectral core; radiative forcing from ghgs, aerosols","boussinesq, hydrostatic approximations; no tides or coastal detail in standard runs","coupled exchange of fluxes, state variables at daily resolution; hydrostatic atmosphere, ocean; aerosol perturbations affect radiation, cloud microphysics","A→AB:0.09 (covered: hydrostatic) | B→AB:0.09 (covered: hydrostatic) | A∪B→AB:0.09 (covered: hydrostatic) | uncovered_AB: aerosol, affect, atmosphere, cloud, daily, microphysics, perturbations, radiation, resolution, state",Mismatch,INTEGRATED,Mismatch,Align the assumptions about hydrostatic balance and other factors between the models.
9,Semantic Mismatch,Keywords,Integrated,Coverage threshold ≥ 0.50,atmospheric model; radiation; cloud processes; spectral gcm; climate modeling,ocean model; ogcm; climate model; canesm2; marine processes,earth system model; climate modeling; atmosphere-ocean coupling; stratospheric aerosols; surface temperature,"A→AB:0.22 (covered: climate, modeling) | B→AB:0.11 (covered: climate) | A∪B→AB:0.22 (covered: climate, modeling) | uncovered_AB: aerosols, atmosphere, coupling, earth, stratospheric, system, temperature",Mismatch,INTEGRATED,Match,The values are semantically similar and can be integrated with minor adjustments.
9,Semantic Mismatch,Model Version,Integrated,A or B must equal AB exactly,v4; v1.3,v1.3; v4,v2,A==AB:×; B==AB:×,Mismatch,INTEGRATED,Match,"Version can vary across models/distributions; this is typically not an integration blocker as long as interfaces, schemas, and runtime contracts remain compatible."
9,Semantic Mismatch,Purpose & Pattern,Integrated,Coverage threshold ≥ 0.50,"simulate atmospheric circulation, energy balance in earth system models; spectral dynamical core with physical parameterizations",simulate oceanic processes for coupled climate modeling; grid-based ocean gcm with vertical mixing schemes,"simulate climate response to internal, external forcings; coupled climate model agcm + ogcm; integrated coupling","A→AB:0.10 (covered: simulate) | B→AB:0.20 (covered: climate, simulate) | A∪B→AB:0.20 (covered: climate, simulate) | uncovered_AB: agcm, coupling, external, forcings, integrated, internal, ogcm, response",Mismatch,INTEGRATED,Match,The values are semantically similar and can be integrated with minor adjustments.
9,Semantic Mismatch,Title,Integrated,Coverage threshold ≥ 0.50,"canadian atmospheric model version 4 canam4; fyfe, j.c.","ncar community ocean model version 1.3 ncom1.3; fyfe, j.c.","integrated canesm2 climate modeling system; fyfe, j.c.","A→AB:0.17 (covered: fyfe) | B→AB:0.17 (covered: fyfe) | A∪B→AB:0.17 (covered: fyfe) | uncovered_AB: canesm2, climate, integrated, modeling, system",Mismatch,INTEGRATED,Match,The values are semantically similar and can be integrated with minor adjustments.
9,Software Environment Mismatch,software_specification_and_requirements,Integrated,Pattern-graded similarity/equality,"netcdf, mpi, fortran compiler",coupled into canesm2,"nemo, canam4, netcdf, mpi","A↔B=0.00 (> 0.50), A↔AB=0.33 & B↔AB=0.00 (> 0.25)",Mismatch,INTEGRATED,Mismatch,Align the software environments between the models.
9,Source Code Availability Gap,availability_of_source_code (A),Integrated,Presence required,,,,A provides metadata,Missing,INTEGRATED,Gap,field A+B missing
9,Source Code Availability Gap,availability_of_source_code (B),Integrated,Presence required,,,,B provides metadata,Missing,INTEGRATED,Gap,field A+B missing
9,Spatial Resolution Mismatch,spatial_resolution,Integrated,Common exchanged variables align semantically,t63 ~2.8° x 2.8°,"1.4° x 1.4°, 40 vertical levels","atmosphere, t63 ~2.8° , ocean, 1.4°",A↔B token-sim=0.00 (>0 ⇒ aligned),Mismatch,INTEGRATED,Match,The values are semantically similar and can be integrated with minor adjustments.
9,Temporal Resolution Mismatch,time_steps_temporal_resolution,Integrated,Common exchanged variables align semantically,30 min to 1 hr,hourly to daily,30-min to daily,A↔B token-sim=0.00 (>0 ⇒ aligned),Mismatch,INTEGRATED,Match,The values are semantically similar and can be integrated with minor adjustments.
